,0
322,3.3155243375626777e-07
323,7.476126788151549e-08
324,-3.117796077801504e-08
325,-2.1339804598824352e-07
326,-9.809053909326717e-08
327,-5.243790399221892e-08
328,1.1339913858299474e-08
329,0.0999999999146751
330,0.09999945848557841
331,4.826978070190232e-13
332,7.121823226786142e-13
333,-2.42146239451953e-12
334,1.6803106661133626e-11
335,-4.0263861371488065e-12
336,-7.556201389717304e-08
337,-6.95895078732352e-09
338,-0.03529370472503636
339,-0.1
340,-0.1
341,-1.1413457792437188e-07
342,-3.3863914217404857e-07
343,8.352307483786477e-08
344,-8.320686585783496e-08
345,3.384302666793504e-09
346,8.38064792994759e-08
347,2.7309923568322435e-07
348,-8.466432458359303e-08
349,-3.930656320031368e-09
350,-1.4743808857388618e-07
351,-1.2042240949588275e-07
352,5.963061324332739e-10
353,0.09999999812598634
354,0.1
355,-1.8878859327294872e-09
356,-2.369672074391006e-09
357,-2.194921333884487e-09
358,-1.4937499635874434e-09
359,-1.7021688420558126e-09
360,-2.3162612734956422e-08
361,-4.997450391366367e-08
362,-0.03529406342020494
363,-0.09999999849594747
364,-0.1
365,4.548388673408502e-09
366,4.1441266315736937e-10
367,9.068720826792423e-08
368,-1.528670128865256e-08
369,2.970800286106509e-08
370,2.2956587661940722e-07
371,-9.226471537163408e-09
372,-1.1566857703030512e-07
373,-2.4746092493905633e-09
374,-7.318710098604791e-08
375,-1.2887073312231926e-07
376,-4.1149784033124724e-10
377,0.1
378,0.1
379,7.506301101476633e-10
380,4.393151015911986e-10
381,2.9675734138516223e-10
382,2.4898883757684997e-10
383,4.1813724554533856e-10
384,-8.20000830277742e-08
385,-1.1801709644921582e-07
386,-0.09999999940677937
387,-0.09999999997695422
388,-0.03529354114205577
389,-3.910754757982055e-07
390,2.41916918667961e-08
391,5.479076139245924e-08
392,2.3995246419608608e-08
393,-3.1634713772379635e-08
394,5.259720487736627e-07
395,-2.5424995676086173e-08
396,-1.6768976865641985e-07
397,-1.8154180556090937e-08
398,-1.8329439437982363e-07
399,-8.928859711708239e-08
400,1.0604416268206511e-08
401,0.09999980422842822
402,0.09999999975790036
403,-2.6653143739794596e-09
404,-5.726840027436076e-08
405,-1.3104835853457345e-07
406,1.9181214231783006e-07
407,-2.1318827949215423e-10
408,-1.0877826543322059e-07
409,-3.155870089927826e-08
410,-0.09999998270600159
